ssideki.neo	Super Sidekicks / Tokuten Ou
ssideki2.neo	Super Sidekicks 2 - The World Championship _ Tokuten Ou 2 - real fight football (NGM-061)(NGH-061)
ssideki3.neo	Super Sidekicks 3 - The Next Glory _ Tokuten Ou 3 - eikou e no michi
twsoc96.neo	Tecmo World Soccer '96
irrmaze.neo	The Irritating Maze / Ultra Denryu Iraira Bou
kof94.neo	The King of Fighters '94 (NGM-055)(NGH-055)
kof95h.neo	The King of Fighters '95 (NGH-084)
kof95.neo	The King of Fighters '95 (NGM-084)
kof95a.neo	The King of Fighters '95 (NGH-084, alternate board)
kof96h.neo	The King of Fighters '96 (NGH-214)
kof96.neo	The King of Fighters '96 (NGM-214)
kof97k.neo	The King of Fighters '97 (Korean release)
kof97h.neo	The King of Fighters '97 (NGH-2320)
kof97.neo	The King of Fighters '97 (NGM-2320)
kof97oro.neo	The King of Fighters '97 Chongchu Jianghu Plus 2003 (bootleg, set 1)
kof97pls.neo	The King of Fighters '97 Plus (bootleg)
kof98k.neo	The King of Fighters '98 - The Slugfest _ King of Fighters '98 - dream match never ends (Korean board, set 1)
kof98ka.neo	The King of Fighters '98 - The Slugfest _ King of Fighters '98 - dream match never ends (Korean board, set 2)
kof98h.neo	The King of Fighters '98 - The Slugfest _ King of Fighters '98 - dream match never ends (NGH-2420)
kof98.neo	The King of Fighters '98 - The Slugfest _ King of Fighters '98 - Dream Match Never Ends (NGM-2420)
kof98a.neo	The King of Fighters '98 - The Slugfest _ King of Fighters '98 - Dream Match Never Ends (NGM-2420, alt board)
kof99e.neo	The King of Fighters '99 - Millennium Battle (earlier)
kof99k.neo	The King of Fighters '99 - Millennium Battle (Korean release)
kof99ka.neo	The King of Fighters '99 - Millennium Battle (Korean release, non-encrypted program)
kof99h.neo	The King of Fighters '99 - Millennium Battle (NGH-2510)
kof99.neo	The King of Fighters '99 - Millennium Battle (NGM-2510)
kof99p.neo	The King of Fighters '99 - Millennium Battle (prototype)
kof10th.neo	The King of Fighters 10th Anniversary (bootleg) [Bootleg]
kf2k5uni.neo	The King of Fighters 10th Anniversary 2005 Unique (bootleg) [Bootleg]
kf10thep.neo	The King of Fighters 10th Anniversary Extra Plus (bootleg) [Bootleg]
kof2000.neo	The King of Fighters 2000 (NGM-2570) (NGH-2570)
kof2000n.neo	The King of Fighters 2000 (not encrypted)
kof2001h.neo	The King of Fighters 2001 (NGH-2621)
kof2001.neo	The King of Fighters 2001 (NGM-262_)
kof2002b.neo	The King of Fighters 2002 (bootleg)
kof2002.neo	The King of Fighters 2002 (NGM-2650)(NGH-2650)
kf2k2mp.neo	The King of Fighters 2002 Magic Plus (bootleg)
kf2k2mp2.neo	The King of Fighters 2002 Magic Plus II (bootleg)
kf2k2pls.neo	The King of Fighters 2002 Plus (bootleg set 1)
kf2k2pla.neo	The King of Fighters 2002 Plus (bootleg set 2)
kf2k3bl.neo	The King of Fighters 2003 (bootleg set 1) [Bootleg]
kf2k3bla.neo	The King of Fighters 2003 (bootleg set 2) [Bootleg]
kof2003h.neo	The King of Fighters 2003 (NGH-2710)
kof2003.neo	The King of Fighters 2003 (NGM-2710, Export)
kf2k3pl.neo	The King of Fighters 2004 Plus _ Hero (bootleg) [Bootleg]
kf2k3upl.neo	The King of Fighters 2004 Ultra Plus (bootleg) [Bootleg]
kof2k4se.neo	The King of Fighters Special Edition 2004 (bootleg) [Bootleg]
lastbladh.neo	The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGH-2340)
lastblad.neo	The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGM-2340)
lastbld2.neo	The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi (NGM-2430)(NGH-2430)
lastsold.neo	The Last Soldier (Korean release of The Last Blade)
superspy.neo	The Super Spy (NGM-011)(NGH-011)
ssideki4.neo	The Ultimate 11 - The SNK Football Championship / Tokuten Ou - Honoo no Libero
trally.neo	Thrash Rally (ALM-003)(ALH-003)
tophuntrh.neo	Top Hunter - Roddy & Cathy (NGH-046)
tophuntr.neo	Top Hunter - Roddy & Cathy (NGM-046)
tpgolf.neo	Top Player's Golf (NGM-003)(NGH-003)
twinspri.neo	Twinkle Star Sprites
vliner53.neo	V-Liner (v0.53)
vliner54.neo	V-Liner (v0.54)
vliner6e.neo	V-Liner (v0.6e)
vliner.neo	V-Liner (v0.7a)
vliner7e.neo	V-Liner (v0.7e)
viewpoinp.neo	Viewpoint (prototype)
viewpoin.neo	Viewpoint
gowcaizr.neo	Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer
wakuwak7.neo	Waku Waku 7
wjammers.neo	Windjammers / Flying Power Disc
wh1h.neo	World Heroes (ALH-005)
wh1.neo	World Heroes (ALM-005)
wh1ha.neo	World Heroes (set 3)
wh2h.neo	World Heroes 2 (ALH-006)
wh2.neo	World Heroes 2 (ALM-006)(ALH-006)
wh2j.neo	World Heroes 2 Jet (ADM-007)(ADH-007)
whp.neo	World Heroes Perfect
zedblade.neo	Zed Blade / Operation Ragnarok
zintrckb.neo	Zintrick _ Oshidashi Zentrix (hack _ bootleg) [Bootleg]
zupapa.neo	Zupapa!
