robokidj2.zip	Atomic Robo-kid (Japan, Type-2, set 2)
robokid.zip	Atomic Robo-kid (World, Type-2)
attackf.zip	Attack (Defender bootleg)
aurailjd.zip	Aurail (set 1, Japan, FD1089A 317-0167 decrypted)
aurailj.zip	Aurail (set 1, Japan, FD1089A 317-0167)
aurail1d.zip	Aurail (set 2, World, FD1089B 317-0168 decrypted)
aurail1.zip	Aurail (set 2, World, FD1089B 317-0168)
aurail.zip	Aurail (set 3, US, unprotected)
avefenix.zip	Ave Fenix (Electrogame, Spanish bootleg of Phoenix)
avefenixl.zip	Ave Fenix (Laguna, Spanish bootleg of Phoenix)
avefenixrf.zip	Ave Fenix (Recreativos Franco, Spanish bootleg of Phoenix)
avengers.zip	Avengers (US set 1)
avengers2.zip	Avengers (US set 2)
avengrgsj.zip	Avengers In Galactic Storm (Japan)
avengrgs.zip	Avengers In Galactic Storm (US)
avspirit.zip	Avenging Spirit
aztarac.zip	Aztarac
azurian.zip	Azurian Attack
bwingsa.zip	B-Wings (Alt Ver.?)
bwings.zip	B-Wings (Japan new Ver.)
bwingso.zip	B-Wings (Japan old Ver.)
bonkadv.zip	B.C. Kid / Bonk's Adventure / Kyukyoku!! PC Genjin
bcstry.zip	B.C. Story (set 1)
bcstrya.zip	B.C. Story (set 2)
brapboys.zip	B.Rap Boys (World)
brapboyspj.zip	B.Rap Boys Special (Japan)
brapboyspu.zip	B.Rap Boys Special (US)
brapboysp.zip	B.Rap Boys Special (World)
backfirt.zip	Back Fire (Tecmo, bootleg)
bssoccer.zip	Back Street Soccer
backfire.zip	Backfire! (set 1)
badapple.zip	Bad Apple (Tech-Demo)
baddudes.zip	Bad Dudes vs. Dragonninja (US)
badlands.zip	Bad Lands
bagman.zip	Bagman
bagmans3.zip	Bagman (Stern Electronics, revision A3)
bagmans4.zip	Bagman (Stern Electronics, revision A4)
bagmans.zip	Bagman (Stern Electronics, revision A5)
bagmanj.zip	Bagman (Taito)
bagmanm2.zip	Bagman (bootleg on Moon Cresta hardware set 2)
bakatono.zip	Bakatonosama Mahjong Manyuuki (MOM-002)(MOH-002)
bakubrkr.zip	Bakuretsu Breaker (Japan)
bkrtmaq.zip	Bakuretsu Quiz Ma-Q Dai Bouken (Japan)
bakutotu.zip	Bakutotsu Kijuutei
balcube.zip	Bal Cube
ballboy.zip	Ball Boy
bace.zip	Balloon Ace
ballbros.zip	Balloon Brothers
baluba.zip	Baluba-louk no Densetsu (Japan)
banbam.zip	BanBam
bangball.zip	Bang Bang Ball (v1.05)
b2b.zip	Bang Bang Busters (2010 NCI release)
bangbead.zip	Bang Bead
bangbedp.zip	Bang Bead (Prototype?)
bang.zip	Bang!
bankp.zip	Bank Panic
baraduke.zip	Baraduke
baryon.zip	Baryon - Future Assault (set 1)
baryona.zip	Baryon - Future Assault (set 2)
bstars2.zip	Baseball Stars 2
bstarsh.zip	Baseball Stars Professional (NGH-002)
bstars.zip	Baseball Stars Professional (NGM-002)
batman.zip	Batman
batman2.zip	Batman Part 2
batsugunb.zip	Batsugun (Korean PCB)
batsugunsp.zip	Batsugun (Special Ver.)
batsugun.zip	Batsugun (set 1)
batsuguna.zip	Batsugun (set 2)
battlntsj.zip	Battlantis (Japan, program code E)
battlntsa.zip	Battlantis (program code F)
battlnts.zip	Battlantis (program code G)
bbakraidja.zip	Battle Bakraid (Japan) (Wed Apr 7 1999)
bbakraidc.zip	Battle Bakraid - Unlimited Version (China) (Tue Jun 8 1999)
bbakraidj.zip	Battle Bakraid - Unlimited Version (Japan) (Tue Jun 8 1999)
bbakraid.zip	Battle Bakraid - Unlimited Version (U.S.A.) (Tue Jun 8 1999)
batlballo.zip	Battle Balls (Germany, earlier)
batlball.zip	Battle Balls (Germany, newer)
batlballa.zip	Battle Balls (Hong Kong)
batlballe.zip	Battle Balls (Hong Kong, earlier)
batlballpt.zip	Battle Balls (Portugal)
batlballu.zip	Battle Balls (US)
batlbubl.zip	Battle Bubble (v2.00)
bchopper.zip	Battle Chopper (World)
batcira.zip	Battle Circuit (970319 Asia)
batcird.zip	Battle Circuit (970319 Euro Phoenix Edition)
batcir.zip	Battle Circuit (970319 Euro)
batcirj.zip	Battle Circuit (970319 Japan)
battlex.zip	Battle Cross
bcruzm12.zip	Battle Cruiser M-12
btlfield.zip	Battle Field (Japan)
btlfieldb.zip	Battle Field (bootleg)
flipshot.zip	Battle Flip Shot
bgareggahk.zip	Battle Garegga (Austria / Hong Kong) (Sat Feb 3 1996)
bgaregga.zip	Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996)
bgareggatw.zip	Battle Garegga (Taiwan / Germany) (Thu Feb 1 1996)
bgareggat.zip	Battle Garegga (location test) (Wed Jan 17 1996)
bgaregganv.zip	Battle Garegga - New Version (Austria / Hong Kong) (Sat Mar 2 1996)
bgareggacn.zip	Battle Garegga - Type 2 (Denmark / China) (Tue Apr 2 1996)
bgareggat2.zip	Battle Garegga - Type 2 (Europe / USA / Japan / Asia) (Sat Mar 2 1996)
bgareggaz.zip	Battle Garegga Zakk version (Europe / USA / Japan / Asia) (Sat Feb 3 1996)
btlkroad.zip	Battle K-Road
btlkroadk.zip	Battle K-Road (Korea)
battlane.zip	Battle Lane! Vol. 5 (set 1)
battlane2.zip	Battle Lane! Vol. 5 (set 2)
battlane3.zip	Battle Lane! Vol. 5 (set 3)
bsharkj.zip	Battle Shark (Japan)
bsharkjjs.zip	Battle Shark (Japan, Joystick)
bsharku.zip	Battle Shark (US)
bshark.zip	Battle Shark (World)
batlzone.zip	Battle Zone (bootleg of Mayday)
bzonec.zip	Battle Zone (cocktail)
bzonea.zip	Battle Zone (rev 1)
bzone.zip	Battle Zone (rev 2)
atlantisb.zip	Battle of Atlantis (bootleg)
atlantis.zip	Battle of Atlantis (set 1)
atlantis2.zip	Battle of Atlantis (set 2)
btoads.zip	Battletoads
bayroute1.zip	Bay Route (set 1, US, unprotected)
bayroutejd.zip	Bay Route (set 2, Japan, FD1094 317-0115 decrypted)
bayroutej.zip	Bay Route (set 2, Japan, FD1094 317-0115)
bayrouted.zip	Bay Route (set 3, World, FD1094 317-0116 decrypted)
bayroute.zip	Bay Route (set 3, World, FD1094 317-0116)
bbustersja.zip	Beast Busters (Japan, Version 2, 2 Players)
bbustersj.zip	Beast Busters (Japan, Version 2, 3 Players)
bbustersua.zip	Beast Busters (US, Version 2)
bbustersu.zip	Beast Busters (US, Version 3)
bbusters.zip	Beast Busters (World)
beastfp.zip	Beastie Feastie (Pac-Man conversion)
ddp2100c.zip	Bee Storm - DoDonPachi II (V100, China)
ddp2100hk.zip	Bee Storm - DoDonPachi II (V100, Hong Kong)
ddp2100j.zip	Bee Storm - DoDonPachi II (V100, Japan)
ddp2100k.zip	Bee Storm - DoDonPachi II (V100, Korea)
ddp2100t.zip	Bee Storm - DoDonPachi II (V100, Taiwan)
ddp2100.zip	Bee Storm - DoDonPachi II (V100, World)
ddp2101c.zip	Bee Storm - DoDonPachi II (V101, China)
ddp2101hk.zip	Bee Storm - DoDonPachi II (V101, Hong Kong)
ddp2101j.zip	Bee Storm - DoDonPachi II (V101, Japan)
ddp2101k.zip	Bee Storm - DoDonPachi II (V101, Korea)
ddp2101t.zip	Bee Storm - DoDonPachi II (V101, Taiwan)
ddp2101.zip	Bee Storm - DoDonPachi II (V101, World)
ddp2c.zip	Bee Storm - DoDonPachi II (V102, China)
ddp2hk.zip	Bee Storm - DoDonPachi II (V102, Hong Kong)
ddp2j.zip	Bee Storm - DoDonPachi II (V102, Japan)
ddp2k.zip	Bee Storm - DoDonPachi II (V102, Korea)
ddp2t.zip	Bee Storm - DoDonPachi II (V102, Taiwan)
ddp2.zip	Bee Storm - DoDonPachi II (V102, World)
blswhstla.zip	Bells & Whistles (Asia, version M)
blswhstl.zip	Bells & Whistles (World, version L)
bermudatj.zip	Bermuda Triangle (Japan)
bermudata.zip	Bermuda Triangle (World Wars) (US)
bermudat.zip	Bermuda Triangle (World?)
berzerkf.zip	Berzerk (French Speech, revision RC31)
berzerkg.zip	Berzerk (German Speech, revision RC32)
berzerks.zip	Berzerk (Spanish Speech, revision RC32)
berzerkb.zip	Berzerk (revision RC28)
berzerka.zip	Berzerk (revision RC31)
berzerk.zip	Berzerk (revision RC31A)
bbbxing.zip	Best Bout Boxing (ver 1.3)
bestleag.zip	Best League (bootleg of Big Striker, Italian Serie A)
