005.zip	005
hardyard.zip	Hard Yardage (v1.20)
hardyd10.zip	Hard Yardage (v1.00)
headon2.zip	Head On 2
heartatk.zip	Heart Attack
hedpanic.zip	Head Panic (Korea?)
hellfir1.zip	Hellfire (1P Ver.)
hellfire.zip	Hellfire
herbiedk.zip	Herbie at the Olympics (DK conversion)
hero.zip	Hero
herodk.zip	Hero in the Castle of Doom (DK conversion)
herodku.zip	Hero in the Castle of Doom (DK conversion not encrypted)
hidnctch.zip	Hidden Catch
higemaru.zip	Pirate Ship Higemaru
hnoridur.zip	Hana Oriduru (Japan)
hogalley.zip	Vs. Hogan's Alley
hotdogst.zip	Hotdog Storm
hotrod.zip	Hot Rod (turbo 3 player)
hotsmash.zip	Hot Smash
hstenn10.zip	Hot Shots Tennis (V1.0)
hstennis.zip	Hot Shots Tennis (V1.1)
hunchbak.zip	Hunchback
huncholy.zip	Hunchback Olympic
hydra.zip	Hydra
hydrap.zip	Hydra (prototype 5/14/90)
hydrap2.zip	Hydra (prototype 5/25/90)
hyperpac.zip	Hyper Pacman
hyprdelj.zip	Hyper Duel (Japan)
hyprduel.zip	Hyper Duel (World)
iceclimb.zip	Vs. Ice Climber
iceclmbj.zip	Vs. Ice Climber (Japan)
iceclmrj.zip	Vs. Ice Climber Dual (Japan)
imago.zip	Imago
indytemd.zip	Indiana Jones and the Temple of Doom (German)
intcup94.zip	International Cup '94
ixion.zip	Ixion (prototype)
jajamaru.zip	Vs. Ninja Jajamaru Kun (Japan)
janshin.zip	Jyanshin Densetsu - Quest of Jongmaster
jchan.zip	Jackie Chan - Kung Fu Master
jdredd.zip	Judge Dredd (Rev C)
jgakuen.zip	Justice Gakuen (JAPAN 971117)
jleague.zip	The J.League 1994 (Japan)
joemac.zip	Tatakae Genshizin Joe _ Mac (Japan)
josvolly.zip	Joshi Volleyball
joyjoy.zip	Puzzled / Joy Joy Kid
jpark.zip	Jurassic Park
jsk.zip	Joryuu Syougi Kyoushitsu (Japan)
jumpkids.zip	Jump Kids
kabukikl.zip	Far East of Eden - Kabuki Klash / Tengai Makyou - Shin Den
kaiserkj.zip	Kaiser Knuckle (Japan)
kaiserkn.zip	Kaiser Knuckle (World)
kakumei2.zip	Mahjong Kakumei 2 - Princess League
kikaioh.zip	Kikaioh (JAPAN 980914)
kinst.zip	Killer Instinct (v1.0)
kittenk.zip	Kitten Kaboodle
kiwames.zip	Pro Mahjong Kiwame S
kizuna.zip	Kizuna Encounter - Super Tag Battle / Fu'un Super Tag Battle
klaxd.zip	Klax (Germany)
knckhead.zip	Knuckle Heads (World)
knckhedj.zip	Knuckle Heads (Japan)
knightsu.zip	Knights of the Round (US 911127)
kodb.zip	The King of Dragons (bootleg)
kodu.zip	The King of Dragons (US 910910)
kof2000.zip	The King of Fighters 2000
kof2000n.zip	The King of Fighters 2000 (not encrypted)
kof95.zip	The King of Fighters '95 (set 1)
kof95a.zip	The King of Fighters '95 (set 2)
kof98.zip	The King of Fighters '98 - The Slugfest / King of Fighters '98 - dream match never ends
kof98n.zip	The King of Fighters '98 - The Slugfest / King of Fighters '98 - dream match never ends (not encrypted)
kotm.zip	King of the Monsters (set 1)
kotm2.zip	King of the Monsters 2 - The Next Thing
kotmh.zip	King of the Monsters (set 2)
kovsh.zip	Knights of Valour Superheroes / Sangoku Senki Superheroes (ver. 322)
kurikina.zip	Kuri Kinton (World, prototype?)
kurikinj.zip	Kuri Kinton (Japan)
kurikint.zip	Kuri Kinton (World)
kurikinu.zip	Kuri Kinton (US)
landbrk.zip	Land Breaker
lastblad.zip	Last Blade / Bakumatsu Roman - Gekka no Kenshi, The (set 1)
lastbld2.zip	Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi, The
lastblda.zip	Last Blade / Bakumatsu Roman - Gekka no Kenshi, The (set 2)
lastduel.zip	Last Duel (US set 1)
lbowling.zip	League Bowling
le2.zip	Lethal Enforcers II: Gun Fighters (ver EAA)
le2u.zip	Lethal Enforcers II: Gun Fighters (ver UAA)
legend.zip	Legend
legendos.zip	Legend of Success Joe / Ashitano Joe Densetsu
lethalj.zip	Lethal Justice
lghost.zip	Laser Ghost
liberat2.zip	Liberator (set 2)
liberatr.zip	Liberator (set 1)
liquidk.zip	Liquid Kids (World)
liquidku.zip	Liquid Kids (US)
loffire.zip	Line of Fire
logger.zip	Logger
lstduela.zip	Last Duel (US set 2)
lstduelb.zip	Last Duel (bootleg)
luckywld.zip	Lucky _ Wild
mach3.zip	M.A.C.H. 3
machridj.zip	Vs. Mach Rider (Japan, Fighting Course Version)
machridr.zip	Vs. Mach Rider (Endurance Course Version)
macrossp.zip	Macross Plus
magdrop3.zip	Magical Drop III
maglord.zip	Magician Lord (set 1)
maglordh.zip	Magician Lord (set 2)
magworm.zip	Magic Worm (bootleg)
mahoudai.zip	Mahou Daisakusen (Japan)
mahretsu.zip	Mahjong Kyoretsuden
mainev2p.zip	The Main Event (2 Players ver. X)
mainevto.zip	The Main Event (4 Players ver. F)
majest12.zip	Majestic Twelve - The Space Invaders Part IV (Japan)
makyosen.zip	Makyou Senshi (Japan)
manhatan.zip	Manhattan 24 Bunsyo (Japan)
marble.zip	Marble Madness (set 1)
marukodq.zip	Chibi Marukochan Deluxe Quiz
mazerbla.zip	Mazer Blazer
mazinger.zip	Mazinger Z
mbomberj.zip	Muscle Bomber - The Body Explosion (Japan 930713)
mbombrd.zip	Muscle Bomber Duo - Ultimate Team Battle (World 931206)
mbombrdj.zip	Muscle Bomber Duo - Heat Up Warriors (Japan 931206)
mdhorse.zip	Derby Quiz My Dream Horse (MDH1/VER.A)
mechatt.zip	Mechanized Attack (World)
megab.zip	Mega Blast (World)
megabj.zip	Mega Blast (Japan)
megaman2.zip	Mega Man 2: The Power Fighters (US 960708)
megamn2a.zip	Mega Man 2: The Power Fighters (Asia 960708)
meikyuh.zip	Meikyuu Hunter G (Japan)
mercsua.zip	Mercs (US 900608)
mermaid.zip	Mermaid
metamrph.zip	Metamorphic Force (US ver UAA)
metamrpj.zip	Metamorphic Force (Japan ver JAA)
metlhawk.zip	Metal Hawk (Japan)
metrocra.zip	Metro-Cross (set 2)
mgcrystj.zip	Magical Crystals (Japan)
mgcrystl.zip	Magical Crystals (World)
midres.zip	Midnight Resistance (World)
midresj.zip	Midnight Resistance (Japan)
midresu.zip	Midnight Resistance (US)
mightybj.zip	Vs. Mighty Bomb Jack (Japan)
millpac.zip	Millpac
mimonscr.zip	Mighty Monkey (bootleg on Scramble hardware)
minasan.zip	Minnasanno Okagesamadesu
mizubaku.zip	Mizubaku Daibouken (Japan)
mjanbari.zip	Medal Mahjong Janjan Baribari [BET] (Japan)
mmatrix.zip	Mars Matrix: Hyper Solid Shooting (US 000412)
mmatrixj.zip	Mars Matrix: Hyper Solid Shooting (Japan 000412)
mmaze.zip	Marchen Maze (Japan)
mmcamera.zip	(Medal) Mahjong Camera Kozou [BET] (Japan 890509)
monkeyd.zip	Monkey Donkey
moo.zip	Wild West C.O.W.-Boys of Moo Mesa (World version EA)
moobl.zip	Wild West C.O.W.-Boys of Moo Mesa (bootleg version AA)
mooncrsa.zip	Moon Cresta (Nichibutsu, old rev)
mooncrst.zip	Moon Cresta (Nichibutsu)
mooncrsu.zip	Moon Cresta (Nichibutsu, unencrypted)
mooua.zip	Wild West C.O.W.-Boys of Moo Mesa (US version UA)
moremorp.zip	More More +
mosyougi.zip	Syougi No Tatsujin - Master of Syougi
motofren.zip	Moto Frenzy
mp_gaxe2.zip	MegaPlay: Golden Axe 2
mp_sonic.zip	MegaPlay: Sonic The Hedgehog
mpangj.zip	Mighty! Pang (Japan 001011)
mrdrillr.zip	Mr Driller (DRI1/VER.A)
mrdrilr2.zip	Mr Driller 2
mrkougar.zip	Mr. Kougar
msh.zip	Marvel Super Heroes (Euro 951024)
msha.zip	Marvel Super Heroes (Asia 951024)
mshb.zip	Marvel Super Heroes (Brazil 951117)
mshh.zip	Marvel Super Heroes (Hispanic 951117)
mshj.zip	Marvel Super Heroes (Japan 951024)
mshu.zip	Marvel Super Heroes (US 951024)
mshuttlj.zip	Moon Shuttle (Japan)
mshvsf.zip	Marvel Super Heroes Vs. Street Fighter (US 970827)
mshvsfa.zip	Marvel Super Heroes Vs. Street Fighter (Asia 970625)
mshvsfa1.zip	Marvel Super Heroes Vs. Street Fighter (Asia 970620)
mshvsfb.zip	Marvel Super Heroes Vs. Street Fighter (Brazil 970827)
mshvsfb1.zip	Marvel Super Heroes Vs. Street Fighter (Brazil 970625)
mshvsfh.zip	Marvel Super Heroes Vs. Street Fighter (Hispanic 970625)
mshvsfj.zip	Marvel Super Heroes Vs. Street Fighter (Japan 970707)
mshvsfj1.zip	Marvel Super Heroes Vs. Street Fighter (Japan 970702)
mshvsfj2.zip	Marvel Super Heroes Vs. Street Fighter (Japan 970625)
mshvsfu1.zip	Marvel Super Heroes Vs. Street Fighter (US 970625)
mslug.zip	Metal Slug - Super Vehicle-001
mslug3.zip	Metal Slug 3
mslug3n.zip	Metal Slug 3 (not encrypted)
mswordj.zip	Magic Sword (Japan 900623)
mswordr1.zip	Magic Sword - Heroic Fantasy (World 900623)
mt_aftrb.zip	MegaTech: Afterburner
mt_astro.zip	MegaTech: Astro Warrior
mt_bbros.zip	MegaTech: Bonanza Bros.
mt_beast.zip	MegaTech: Altered Beast
mt_eswat.zip	MegaTech: E-Swat
mt_fshrk.zip	MegaTech: Fire Shark
mt_gaxe.zip	MegaTech: Golden Axe
mt_gaxe2.zip	MegaTech: Golden Axe 2
mt_ggolf.zip	MegaTech: Great Golf
mt_gng.zip	MegaTech: Ghouls and Ghosts
mt_gsocr.zip	MegaTech: Great Soccer
mt_kcham.zip	MegaTech: Kid Chameleon
mt_lastb.zip	MegaTech: Last Battle.
mt_mwalk.zip	MegaTech: Moonwalker
mt_mystd.zip	MegaTech: Mystic Defender
mt_parlg.zip	MegaTech: Parlour Games
mt_revsh.zip	MegaTech: The Revenge Of Shinobi
mt_shar2.zip	MegaTech: Space Harrier 2.
mt_shnbi.zip	MegaTech: Shinobi
mt_smgp.zip	MegaTech: Super Monaco Grand Prix
mt_sonic.zip	MegaTech: Sonic the Hedgehog
mt_stbld.zip	MegaTech: Super Thunder Blade
mt_tetri.zip	MegaTech: Tetris
mt_tfor2.zip	MegaTech: Thunder Force 2
mt_tgolf.zip	MegaTech: Arnold Palmer Tournament Golf
mt_tlbba.zip	MegaTech: Tommy Lasorda Baseball
mt_wcsoc.zip	MegaTech: World Cup Soccer
mtlchamp.zip	Martial Champion (Europe ver EAA)
mtlchmpj.zip	Martial Champion (Japan ver JAA)
multchmp.zip	Multi Champ (Korea)
mutantf.zip	Mutant Fighter (World Rev 4, EM-5)
mutantfa.zip	Mutant Fighter (World Rev 3, EM-4)
mvp.zip	MVP
mvsc.zip	Marvel Vs. Capcom: Clash of Super Heroes (US 980123)
mvsca.zip	Marvel Vs. Capcom: Clash of Super Heroes (Asia 980112)
mvsch.zip	Marvel Vs. Capcom: Clash of Super Heroes (Hispanic 980123)
mvscj.zip	Marvel Vs. Capcom: Clash of Super Heroes (Japan 980123)
mvscjr1.zip	Marvel Vs. Capcom: Clash of Super Heroes (Japan 980112)
myangel3.zip	Kosodate Quiz My Angel 3 (KQT1/VER.A)
myfairld.zip	Virtual Mahjong 2 - My Fair Lady
myhero.zip	My Hero (US)
myqbert.zip	Mello Yello Q*bert
mystwarr.zip	Mystic Warriors (Europe ver EAA)
mystwaru.zip	Mystic Warriors (US ver UAA)
nam1975.zip	NAM-1975
nastar.zip	Nastar (World)
nbajamex.zip	NBA Jam Extreme
ncv1.zip	Namco Classics Collection Vol.1
ncv1j.zip	Namco Classics Collection Vol.1 (Japan set 1)
ncv1j2.zip	Namco Classics Collection Vol.1 (Japan set 2)
ncv2.zip	Namco Classics Collection Vol.2
ncv2j.zip	Namco Classics Collection Vol.2 (Japan)
nebulray.zip	Nebulas Ray (World)
nebulryj.zip	Nebulas Ray (Japan)
neobombe.zip	Neo Bomberman
neocup98.zip	Neo-Geo Cup '98 - The Road to the Victory
neodrift.zip	Neo Drift Out - New Technology
neomrdo.zip	Neo Mr. Do!
netwars.zip	Net Wars
ninjak.zip	The Ninja Kids (World)
ninjakj.zip	The Ninja Kids (Japan)
ninjamas.zip	Ninja Master's - haoh-ninpo-cho
nitedrvr.zip	Night Driver
nitrobal.zip	Nitro Ball (US)
nrallyv.zip	New Rally X (Vertical Screen)
nss_fzer.zip	Nintendo Super System: F-Zero
nss_smw.zip	Nintendo Super System: Super Mario World
nss_sten.zip	Nintendo Super System: Super Tennis
numanath.zip	Numan Athletics (World)
numanatj.zip	Numan Athletics (Japan)
nwarr.zip	Night Warriors: Darkstalkers' Revenge (US 950406)
nwarrb.zip	Night Warriors: Darkstalkers' Revenge (Brazil 950403)
nwarrh.zip	Night Warriors: Darkstalkers' Revenge (Hispanic 950403)
nyanpani.zip	Nyan Nyan Panic (Japan)
offroadc.zip	Off Road Challenge
omega.zip	Omega
opaopa.zip	Opa Opa
opengolf.zip	Konami's Open Golf Championship (ver EAD)
opwolf.zip	Operation Wolf (US)
orunners.zip	Outrunners (US)
othunder.zip	Operation Thunderbolt (World)
othundu.zip	Operation Thunderbolt (US)
outfxesj.zip	Outfoxies (Japan)
outfxies.zip	Outfoxies
outline.zip	Outline
pacapp.zip	Paca Paca Passion (PPP1/VERA)
pacmanbl.zip	Pac-Man (Galaxian hardware)
pacmania.zip	Pac-Mania
pacmanij.zip	Pac-Mania (Japan)
paddle2.zip	Paddle 2
pairs.zip	Pairs (V1.2, 09/30/94)
pairsa.zip	Pairs (09/07/94)
panicbom.zip	Panic Bomber
pbillrds.zip	Perfect Billiard (Sega)
pbobbl2j.zip	Puzzle Bobble 2 (Japan)
pbobbl2u.zip	Bust-A-Move Again (US)
pbobbl2x.zip	Puzzle Bobble 2X (Japan)
pbobbl3j.zip	Puzzle Bobble 3 (Japan)
pbobbl3u.zip	Puzzle Bobble 3 (US)
pbobbl4j.zip	Puzzle Bobble 4 (Japan)
pbobbl4u.zip	Puzzle Bobble 4 (US)
pbobble2.zip	Puzzle Bobble 2 (World)
pbobble3.zip	Puzzle Bobble 3 (World)
pbobble4.zip	Puzzle Bobble 4 (World)
pbobblen.zip	Puzzle Bobble / Bust-A-Move (Neo-Geo) (set 1)
pbobblna.zip	Puzzle Bobble / Bust-A-Move (Neo-Geo) (set 2)
pengo2u.zip	Pengo (set 2 not encrypted)
pestplce.zip	Pest Place
pettanp.zip	Pettan Pyuu (Japan)
pfghtj.zip	Pocket Fighter (Japan 970904)
pgear.zip	Powered Gear: Strategic Variant Armor Equipment (Japan 941024)
pgearr1.zip	Powered Gear: Strategic Variant Armor Equipment (Japan 940916)
photoy2k.zip	Photo Y2K
pipedrm.zip	Pipe Dream (US)
pistoldm.zip	Pistol Daimyo no Bouken (Japan)
pitfigh3.zip	Pit Fighter (rev 3)
pitfighb.zip	Pit Fighter (bootleg)
pitfighj.zip	Pit Fighter (Japan, 2 players)
pitfight.zip	Pit Fighter (rev 4)
platoon.zip	Vs. Platoon
plygonet.zip	Polygonet Commanders (ver UAA)
policeto.zip	Police Trainer (Rev 1.1)
pollux.zip	Pollux (set 1)
polluxa.zip	Pollux (set 2)
popeyef.zip	Popeye (revision F)
popnpop.zip	Pop 'N Pop (World)
popnpopj.zip	Pop 'N Pop (Japan)
popnpopu.zip	Pop 'N Pop (US)
portrait.zip	Portraits
powrplay.zip	Power Play
primglex.zip	Prime Goal EX (PG1/VER.A)
prmrsocj.zip	Premier Soccer (Japan ver. JAB)
prmrsocr.zip	Premier Soccer (Europe ver. EAB)
prmtmfgt.zip	Prime Time Fighter (US new version)
profpac.zip	Professor PacMan
propcycl.zip	Prop Cycle (Rev PR2 Ver.A)
pspikes.zip	Power Spikes (World)
pspikes2.zip	Power Spikes II
psyforce.zip	Psychic Force (JAPAN)
ptblank.zip	Point Blank
puchicar.zip	Puchi Carat (Japan)
pulstar.zip	Pulstar
pushman.zip	Pushman
puyopuy2.zip	Puyo Puyo 2 (Japan)
puyopuya.zip	Puyo Puyo (Japan) (Rev A)
puyopuyo.zip	Puyo Puyo (Japan)
puzldama.zip	Taisen Puzzle-dama (ver JAA)
puzloopj.zip	Puzz Loop (Japan)
puzloopu.zip	Puzz Loop (USA)
puzzledp.zip	Puzzle De Pon!
qgakumon.zip	Quiz Gakumon no Susume (Japan ver. JA2 Type L)
qndream.zip	Quiz Nanairo Dreams: Nijiirochou no Kiseki (Japan 960826)
qsww.zip	Quiz Syukudai wo Wasuremashita
qtheater.zip	Quiz Theater - 3tsu no Monogatari (Japan)
quartt2j.zip	Quartet 2 (Japan)
quizkof.zip	Quiz King of Fighters
quiztou.zip	Nettou! Gekitou! Quiztou!! (Japan)
qzchikyu.zip	Quiz Chikyu Bouei Gun (Japan)
qzquest.zip	Quiz Quest - Hime to Yuusha no Monogatari (Japan)
rabbit.zip	Rabbit
racedcb4.zip	Race Drivin' (compact, British, rev 4)
racedcg4.zip	Race Drivin' (compact, German, rev 4)
racedrb1.zip	Race Drivin' (cockpit, British, rev 1)
racedrb4.zip	Race Drivin' (cockpit, British, rev 4)
racedrc1.zip	Race Drivin' (compact, rev 1)
racedrc2.zip	Race Drivin' (compact, rev 2)
racedrc4.zip	Race Drivin' (compact, rev 4)
racedrcb.zip	Race Drivin' (compact, British, rev 5)
racedrcg.zip	Race Drivin' (compact, German, rev 5)
racedrg1.zip	Race Drivin' (cockpit, German, rev 2)
racedrg4.zip	Race Drivin' (cockpit, German, rev 4)
racedriv.zip	Race Drivin' (cockpit, rev 5)
racedrv1.zip	Race Drivin' (cockpit, rev 1)
racedrv2.zip	Race Drivin' (cockpit, rev 2)
racedrv3.zip	Race Drivin' (cockpit, rev 3)
racedrv4.zip	Race Drivin' (cockpit, rev 4)
racedrvb.zip	Race Drivin' (cockpit, British, rev 5)
racedrvc.zip	Race Drivin' (compact, rev 5)
racedrvg.zip	Race Drivin' (cockpit, German, rev 5)
racinfrc.zip	Racin' Force (ver UAB)
racoon.zip	Racoon World
radarzn1.zip	Radar Zone (Rev.1)
radarznt.zip	Radar Zone (Tuni)
radarzon.zip	Radar Zone
radm.zip	Rad Mobile
radr.zip	Rad Rally
ragnagrd.zip	Ragnagard / Shin-Oh-Ken
raiden2.zip	Raiden 2
rainbow.zip	Rainbow Islands (new version)
rainbowe.zip	Rainbow Islands (Extra)
rainbowo.zip	Rainbow Islands (old version)
rallys.zip	Rallys (bootleg?)
raveracw.zip	Rave Racer (Rev. RV2, World)
rayforce.zip	Rayforce (US)
rayforcj.zip	Rayforce (Japan)
rbff2.zip	Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - the newcomers (set 1)
rbff2a.zip	Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - the newcomers (set 2)
rbffspec.zip	Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special
rbibb.zip	Vs. Atari R.B.I. Baseball (set 1)
rbibba.zip	Vs. Atari R.B.I. Baseball (set 2)
rckman2j.zip	Rockman 2: The Power Fighters (Japan 960708)
recordbr.zip	Recordbreaker (World)
redclash.zip	Red Clash
redclask.zip	Red Clash (Kaneko)
regulus.zip	Regulus (New Ver.)
retofinv.zip	Return of the Invaders
revx.zip	Revolution X (Rev. 1.0 6/16/94)
ridger2j.zip	Ridge Racer 2 (Rev. RRS1, Japan)
ridgeraj.zip	Ridge Racer (Rev. RR1, Japan)
ridhero.zip	Riding Hero (set 1)
ridheroh.zip	Riding Hero (set 2)
ringdest.zip	Ring of Destruction: Slammasters II (Euro 940902)
ringrage.zip	Ring Rage (World)
ringragu.zip	Ring Rage (US)
roadblc1.zip	Road Blasters (cockpit, rev 1)
roadblcg.zip	Road Blasters (cockpit, German, rev 1)
roadblg1.zip	Road Blasters (upright, German, rev 1)
roadblg2.zip	Road Blasters (upright, German, rev 2)
roadbls1.zip	Road Blasters (upright, rev 1)
roadbls2.zip	Road Blasters (upright, rev 2)
roadbls3.zip	Road Blasters (upright, rev 3)
roadblsc.zip	Road Blasters (cockpit, rev 2)
roadblsg.zip	Road Blasters (upright, German, rev 3)
roadblst.zip	Road Blasters (upright, rev 4)
roadriot.zip	Road Riot 4WD
roadrun1.zip	Road Runner (rev 1)
roadrun2.zip	Road Runner (rev 1+)
roadrunn.zip	Road Runner (rev 2)
roboarmy.zip	Robo Army
robocop.zip	Robocop (World revision 4)
robocop2.zip	Robocop 2 (World)
robocp2j.zip	Robocop 2 (Japan)
rockn.zip	Rock'n Tread (Japan)
roldfrga.zip	The Return of Lady Frog (set 2)
roldfrog.zip	The Return of Lady Frog
rompers.zip	Rompers (Japan)
romperso.zip	Rompers (Japan old version)
route16a.zip	Route 16 (set 2)
routex.zip	Route X (bootleg)
rrreveng.zip	Road Riot's Revenge (prototype)
rrrevenp.zip	Road Riot's Revenge (prototype alt)
rtypeleo.zip	R-Type Leo (World rev. C)
runark.zip	Runark (Japan)
rungun.zip	Run and Gun (World ver. EAA)
rungunu.zip	Run and Gun (US ver. UAB)
rvschool.zip	Rival Schools (ASIA 971117)
ryukyu.zip	Ryukyu
s1945ii.zip	Strikers 1945 II
s1945iii.zip	Strikers 1945 III (World) / Strikers 1999 (Japan)
sailormn.zip	Pretty Soldier Sailor Moon (95/03/22B)
sailormo.zip	Pretty Soldier Sailor Moon (95/03/22)
salamanj.zip	Salamander (version J)
salmndr2.zip	Salamander 2 (ver JAA)
samesam2.zip	Same! Same! Same! (2P Ver.)
samesame.zip	Same! Same! Same!
samsho.zip	Samurai Shodown / Samurai Spirits
samsho3.zip	Samurai Shodown III / Samurai Spirits - Zankurou Musouken
samsho4.zip	Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin
sandscrp.zip	Sand Scorpion
sbasketb.zip	Super Basketball (version G)
sbasketo.zip	Super Basketball (version E)
sbasketu.zip	Super Basketball (not encrypted)
sbdk.zip	Super Bike (DK conversion)
sbomberb.zip	Space Bomber (ver. B)
scfinals.zip	Super Cup Finals (World)
sci.zip	Special Criminal Investigation (World set 1)
scia.zip	Special Criminal Investigation (World set 2)
sciu.zip	Special Criminal Investigation (US)
scobrab.zip	Super Cobra (bootleg)
scorpnmc.zip	Scorpion (Moon Cresta hardware)
scross.zip	Stadium Cross (World)
sdodgeb.zip	Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu
seabass.zip	Sea Bass Fishing
secretag.zip	Secret Agent (World)
sengokh.zip	Sengoku / Sengoku Denshou (set 2)
sengoku2.zip	Sengoku 2 / Sengoku Denshou 2
sf2.zip	Street Fighter II - The World Warrior (World 910522)
sf2ce.zip	Street Fighter II' - Champion Edition (World 920313)
sf2cej.zip	Street Fighter II' - Champion Edition (Japan 920513)
sf2ceua.zip	Street Fighter II' - Champion Edition (US 920313)
sf2ceub.zip	Street Fighter II' - Champion Edition (US 920513)
sf2ceuc.zip	Street Fighter II' - Champion Edition (US 920803)
sf2eb.zip	Street Fighter II - The World Warrior (World 910214)
sf2j.zip	Street Fighter II - The World Warrior (Japan 911210)
sf2ja.zip	Street Fighter II - The World Warrior (Japan 910214)
sf2jc.zip	Street Fighter II - The World Warrior (Japan 910306)
sf2t.zip	Street Fighter II' - Hyper Fighting (US 921209)
sf2tj.zip	Street Fighter II' Turbo - Hyper Fighting (Japan 921209)
sf2ua.zip	Street Fighter II - The World Warrior (US 910206)
sf2ub.zip	Street Fighter II - The World Warrior (US 910214)
sf2ud.zip	Street Fighter II - The World Warrior (US 910318)
sf2ue.zip	Street Fighter II - The World Warrior (US 910228)
sf2uf.zip	Street Fighter II - The World Warrior (US 910411)
sf2ui.zip	Street Fighter II - The World Warrior (US 910522)
sf2uk.zip	Street Fighter II - The World Warrior (US 911101)
sfa.zip	Street Fighter Alpha: Warriors' Dreams (Euro 950727)
sfa2.zip	Street Fighter Alpha 2 (US 960306)
sfa3.zip	Street Fighter Alpha 3 (US 980904)
sfa3r1.zip	Street Fighter Alpha 3 (US 980629)
sfar1.zip	Street Fighter Alpha: Warriors' Dreams (Euro 950718)
sfar2.zip	Street Fighter Alpha: Warriors' Dreams (Euro 950605)
sfau.zip	Street Fighter Alpha: Warriors' Dreams (US 950627)
sfeverbw.zip	Space Fever (black and white)
sfex.zip	Street Fighter EX (ASIA 961219)
sfex2.zip	Street Fighter EX 2 (JAPAN 980312)
sfex2p.zip	Street Fighter EX 2 Plus (JAPAN 990611)
sfexj.zip	Street Fighter EX (JAPAN 961130)
sfexp.zip	Street Fighter EX Plus (USA 970311)
sfexpj.zip	Street Fighter EX Plus (JAPAN 970311)
sfish2.zip	Sport Fishing 2
sfish2j.zip	Sport Fishing 2 (Japan)
sflush.zip	Straight Flush
sfz2a.zip	Street Fighter Zero 2 (Asia 960227)
sfz2aa.zip	Street Fighter Zero 2 Alpha (Asia 960826)
sfz2ab.zip	Street Fighter Zero 2 Alpha (Brazil 960813)
sfz2ah.zip	Street Fighter Zero 2 Alpha (Hispanic 960813)
sfz2aj.zip	Street Fighter Zero 2 Alpha (Japan 960805)
sfz2b.zip	Street Fighter Zero 2 (Brazil 960531)
sfz2br1.zip	Street Fighter Zero 2 (Brazil 960304)
sfz2j.zip	Street Fighter Zero 2 (Japan 960227)
sfz3a.zip	Street Fighter Zero 3 (Asia 980701)
sfz3j.zip	Street Fighter Zero 3 (Japan 980727)
sfz3jr1.zip	Street Fighter Zero 3 (Japan 980629)
sfzb.zip	Street Fighter Zero (Brazil 951109)
sfzh.zip	Street Fighter Zero (Hispanic 950627)
sfzj.zip	Street Fighter Zero (Japan 950727)
sfzjr1.zip	Street Fighter Zero (Japan 950627)
sfzjr2.zip	Street Fighter Zero (Japan 950605)
sgemf.zip	Super Gem Fighter Mini Mix (US 970904)
sgemfa.zip	Super Gem Fighter: Mini Mix (Asia 970904)
sgemfh.zip	Super Gem Fighter: Mini Mix (Hispanic 970904)
sgmast.zip	Super Masters Golf
sgunner.zip	Steel Gunner
sgunner2.zip	Steel Gunner 2 (US)
sgunnr2j.zip	Steel Gunner 2 (Japan)
shadowld.zip	Shadow Land
shadoww.zip	Shadow Warriors (World set 1)
shienryu.zip	Shienryu
shimpacp.zip	Super High Impact (prototype, rev 5.0 09/15/91)
shiryu2.zip	Strider Hiryu 2 (JAPAN 991213)
shisen2.zip	Shisensho II
shocktra.zip	Shock Troopers (set 2)
shocktro.zip	Shock Troopers (set 1)
shogwarr.zip	Shogun Warriors
shootgal.zip	Shooting Gallery
shougi.zip	Shougi
shougi2.zip	Shougi 2
shtngmst.zip	Shooting Master
silentdj.zip	Silent Dragon (Japan)
simps2pa.zip	The Simpsons (2 Players alt)
sinvasn.zip	Space Invasion (Europe)
skullxb1.zip	Skull _ Crossbones (rev 1)
skullxb2.zip	Skull _ Crossbones (rev 2)
skullxb3.zip	Skull _ Crossbones (rev 3)
skullxb4.zip	Skull _ Crossbones (rev 4)
skullxbo.zip	Skull _ Crossbones (rev 5)
skybase.zip	Sky Base
skykid.zip	Sky Kid (New Ver.)
skykidd.zip	Sky Kid (60A1 Ver.)
skykido.zip	Sky Kid (Old Ver.)
slammast.zip	Saturday Night Slam Masters (World 930713)
slammasu.zip	Saturday Night Slam Masters (US 930713)
slipstrm.zip	Slipstream
slmdunkj.zip	Slam Dunk (Japan ver. JAA))
slyspy.zip	Sly Spy (US revision 3)
slyspy2.zip	Sly Spy (US revision 2)
smbomb.zip	Super Muscle Bomber: The International Blowout (Japan 940831)
smbombr1.zip	Super Muscle Bomber: The International Blowout (Japan 940808)
smgolf.zip	Vs. Stroke and Match Golf (Men Version)
smgolfj.zip	Vs. Stroke and Match Golf (Men Version) (Japan)
sncwgltd.zip	Sonic Wings Limited (JAPAN)
socbrawl.zip	Soccer Brawl
