005.zip	005
bakubaku.zip	Baku Baku Animal (J 950407 V1.000)
bakubrkr.zip	Bakuretsu Breaker
bakuhatu.zip	Mahjong Bakuhatsu Junjouden (Japan)
bakutotu.zip	Bakutotsu Kijuutei
balcube.zip	Bal Cube
ballbomb.zip	Balloon Bomber
ballbros.zip	Balloon Brothers
balonfgt.zip	Vs. Balloon Fight
baluba.zip	Baluba-louk no Densetsu
bam2.zip	Bust a Move 2 (Japanese ROM ver. 1999/07/17 10:00:00)
bananadr.zip	Mahjong Banana Dream [BET] (Japan 891124)
banbam.zip	BanBam
bandido.zip	Bandido
bang.zip	Bang!
bangball.zip	Bang Bang Ball (v1.05)
bangbead.zip	Bang Bead
bangj.zip	Gun Gabacho (Japan)
bankp.zip	Bank Panic
baraduke.zip	Baraduke
barline.zip	Barline (Japan?)
barricad.zip	Barricade
barrier.zip	Barrier
basebal2.zip	Baseball: The Season II
bass.zip	Sega Bass Fishing
bassang2.zip	Bass Angler 2 (GE865 VER. JAA)
bassangl.zip	Bass Angler (GE765 VER. JAA)
batcir.zip	Battle Circuit (Euro 970319)
batcira.zip	Battle Circuit (Asia 970319)
batcird.zip	Battle Circuit (Euro 970319 Phoenix Edition) (bootleg)
batcirj.zip	Battle Circuit (Japan 970319)
batlball.zip	Battle Balls (Germany)
batlballa.zip	Battle Balls (Asia)
batlballu.zip	Battle Balls (US)
batlbubl.zip	Battle Bubble (v2.00)
batlgear.zip	Battle Gear
batlgr2.zip	Battle Gear 2
batman.zip	Batman
batman2.zip	Batman Part 2
batmanfr.zip	Batman Forever (JUE 960507 V1.000)
batrid.zip	Armed Police Batrider (Europe) (Fri Feb 13 1998)
batridc.zip	Armed Police Batrider (China) (Fri Feb 13 1998)
batridj.zip	Armed Police Batrider - B Version (Japan) (Fri Feb 13 1998)
batridja.zip	Armed Police Batrider - A Version (Japan) (Mon Dec 22 1997)
batridk.zip	Armed Police Batrider (Korea) (Fri Feb 13 1998)
batridta.zip	Armed Police Batrider - A Version (Taiwan) (Mon Dec 22 1997)
batridu.zip	Armed Police Batrider (U.S.A.) (Fri Feb 13 1998)
batsugun.zip	Batsugun (set 1)
batsuguna.zip	Batsugun (set 2)
batsugunsp.zip	Batsugun (Special Ver.)
battlane.zip	Battle Lane! Vol. 5 (set 1)
battlane2.zip	Battle Lane! Vol. 5 (set 2)
battlane3.zip	Battle Lane! Vol. 5 (set 3)
battlcry.zip	Battlecry
battlera.zip	Battle Rangers (World)
battles.zip	Battles
battlex.zip	Battle Cross
battlnts.zip	Battlantis
battlntsj.zip	Battlantis (Japan)
battroad.zip	The Battle-Road
bayroute.zip	Bay Route (set 3, World, FD1094 317-0116)
bayroute1.zip	Bay Route (set 1, US, unprotected)
bayrouteb1.zip	Bay Route (encrypted, protected bootleg)
bayrouteb2.zip	Bay Route (Datsu bootleg)
