platform,path,display_name,emulator_command,extension
gp32,archive:ni-roms/roms/GamePark - GP32.zip,NoIntro,mame gp32 -memc,
gp32,archive:tosec-main/Game Park/GP32/Games/[SMC],TOSEC,mame gp32 -memc,
gp32,archive:mame-sl/mame-sl/gp32.zip,MAME,mame gp32 -memc,
bk,archive:tosec-main/Elektronika/BK-0011-411/Games,TOSEC,bk_libretro,
bk,archive:tosec-main/Elektronika/BK-0010-0011M/Applications,App,bk_libretro,
bk,archive:mame-sl/mame-sl/bk0010.zip,MAME,mame bk0010 -cass,
enterprise,archive:tosec-main/Enterprise/64 & 128/Games/[BAS],64 & 128 BAS,ep128emu_core_libretro,
enterprise,archive:tosec-main/Enterprise/64 & 128/Games/[COM],64 & 128 COM,ep128emu_core_libretro,
enterprise,archive:tosec-main/Enterprise/64 & 128/Games/[DTF],64 & 128 DTF,ep128emu_core_libretro,
enterprise,archive:tosec-main/Enterprise/64 & 128/Games/[Multipart],64 & 128 Multipart,ep128emu_core_libretro,
enterprise,archive:mame-sl/mame-sl/ep64_flop.zip,64 & 128 Flop MAME,mame ep128 -flop,
enterprise,archive:mame-sl/mame-sl/ep64_cart.zip,Cart MAME,mame ep128 -cart,
enterprise,archive:mame-sl/mame-sl/ep64_cass.zip,Cass MAME,mame ep128 -autoboot_command 'LOAD\n' -autoboot_delay 3 -cass,
tvc,archive:tosec-main/Videoton/TV-Computer/Games/[CAS],TC Computer CAS,ep128emu_core_libretro,
tvc,archive:mame-sl/mame-sl/tvc_flop.zip,TC Computer Flop MAME,mame tvc64p -flop1,
tvc,archive:mame-sl/mame-sl/tvc_cass.zip,TVC Cass MAME,mame tvc64p -autoboot_command 'LOAD\n' -autoboot_delay 3 -cass,
tvc,archive:mame-sl/mame-sl/tvc_cart.zip,TVC Cart MAME,mame tvc64p -cart,
amstradcpc,archive:tosec-main/Amstrad/CPC/Games/[DSK],DSK,cap32_libretro,
amstradcpc,archive:tosec-main/Amstrad/CPC/Games/[CDT],CDT,cap32_libretro,
amstradcpc,archive:tosec-main/Amstrad/CPC/Games/[SNA],SNA,cap32_libretro,
amstradcpc,archive:tosec-main/Amstrad/CPC/Applications/[DSK],App,cap32_libretro,
amstradcpc,archive:mame-sl/mame-sl/cpc_cass.zip,Cass MAME,"mame cpc464 -autoboot_command 'RUN""\n' -autoboot_delay 3 -cass",
amstradcpc,archive:mame-sl/mame-sl/cpc_flop.zip,Flop MAME,mame cpc6128 -flop1,
gx4000,archive:tosec-main/Amstrad/GX4000/Games,TOSEC,cap32_libretro,
gx4000,archive:mame-sl/mame-sl/gx4000.zip,MAME,mame gx4000 -cart,
pcw,archive:mame-sl/mame-sl/pcw.zip,MAME,mame pcw8256 -flop,
zx80,archive:mame-sl/mame-sl/zx80_cass.zip,MAME,mame zx80 -autoboot_command 'W\n' -autoboot_delay 3 -cass,
zx81,archive:tosec-main/Sinclair/ZX81/Games/[P],TOSEC,81_libretro,
zx81,archive:tosec-main/Sinclair/ZX81/Applications/[P],App,81_libretro,
zx81,archive:mame-sl/mame-sl/zx81_cass.zip,MAME,"mame zx81 -autoboot_command 'J""""\n' -autoboot_delay 3 -cass",
zxspectrum,archive:tosec-main/Sinclair/ZX Spectrum/Games/[DSK],DSK,fuse_libretro,
zxspectrum,archive:tosec-main/Sinclair/ZX Spectrum/Games/[SCL],SCL,fuse_libretro,
zxspectrum,archive:tosec-main/Sinclair/ZX Spectrum/Games/[TAP],TAP,fuse_libretro,
zxspectrum,archive:tosec-main/Sinclair/ZX Spectrum/Games/[TRD],TRD,fuse_libretro,
zxspectrum,archive:tosec-main/Sinclair/ZX Spectrum/Games/[TZX],TZX,fuse_libretro,
zxspectrum,archive:tosec-main/Sinclair/ZX Spectrum/Games/[Z80],Z80,fuse_libretro,
zxspectrum,archive:tosec-main/Sinclair/ZX Spectrum/Educational/[TAP],Edu TAP,fuse_libretro,
zxspectrum,archive:tosec-main/Sinclair/ZX Spectrum/Educational/[TZX],Edu TZX,fuse_libretro,
zxspectrum,archive:tosec-main/Sinclair/ZX Spectrum/Educational/[Z80],Edu Z80,fuse_libretro,
zxspectrum,archive:tosec-main/Sinclair/ZX Spectrum/Applications/[TAP],App TAP,fuse_libretro,
zxspectrum,archive:tosec-main/Sinclair/ZX Spectrum/Applications/[TZX],App TZX,fuse_libretro,
zxspectrum,archive:tosec-main/Sinclair/ZX Spectrum/Applications/[Z80],App Z80,fuse_libretro,
zxspectrum,archive:mame-sl/mame-sl/spectrum_cass.zip,MAME,"mame spectrum -autoboot_command 'LOAD """"\n' -autoboot_delay 3 -cass",
specpls3,archive:mame-sl/mame-sl/specpls3_flop.zip,MAME,mame specpls3 -flop,
zxspectrum,archive:mame-sl/mame-sl/timex_cass.zip,Cass MAME,"mame tc2068 -autoboot_command 'LOAD """"\n' -autoboot_delay 3 -cass",
zxspectrum,archive:mame-sl/mame-sl/spectrum_betadisc_flop.zip,Beta Disc MAME,mame pentagon -flop,
zxspectrum,archive:mame-sl/mame-sl/spectrum_flop_opus.zip,Opus Flop MAME,mame spec128 -flop,
zxspectrum,archive:mame-sl/mame-sl/spectrum_cart.zip,Cart MAME,mame specpls3 -cart,
zxspectrum,archive:mame-sl/mame-sl/spectrum_mgt_flop.zip,MGT Flop MAME,mame spec128 -flop,
ql,archive:tosec-main/Sinclair/QL/Demos/[MDV],Demos MDV,mame ql -autoboot_command 'BOOT\n' -autoboot_delay 5 -utap1,mdv
ql,archive:mame-sl/mame-sl/ql_cass.zip,Cass MAME,mame ql -autoboot_command 'BOOT\n' -autoboot_delay 5 -utap1,
ql,archive:mame-sl/mame-sl/ql_cart.zip,Cart MAME,mame ql -cart,
ql,archive:mame-sl/mame-sl/ql_flop.zip,Flop MAME,mame ql -exp trump -flop,
spectravideo,archive:tosec-main/Spectravideo/SVI-318 & SVI-328/Games/[BIN],Games,bluemsx_libretro,
spectravideo,archive:tosec-main/Spectravideo/SVI-318 & SVI-328/Various/[CAS],Various,bluemsx_libretro,
spectravideo,archive:mame-sl/mame-sl/svi318_cass.zip,MAME,mame svi318 -autoboot_command 'CLOAD\nRUN\n' -autoboot_delay 3 -cass,
samcoupe,archive:tosec-main/MGT/Sam Coupe/Games/[DSK],DSK,mame samcoupe -flop1,
samcoupe,archive:mame-sl/mame-sl/samcoupe_flop.zip,MAME,mame samcoupe -flop1,
samcoupe,archive:mame-sl/mame-sl/samcoupe_cass.zip,Cass MAME,"mame samcoupe -autoboot_command 'LOAD """"\n' -autoboot_delay 3 -cass",
oricatmos,archive:tosec-main/Tangerine/Oric-1 & Oric Atmos/Games/[TAP],TAP,"mame orica -autoboot_command 'CLOAD""""\n' -autoboot_delay 4 -cass",
oricatmos,archive:mame-sl/mame-sl/oric1_cass.zip,MAME,"mame orica -autoboot_command 'CLOAD""""\n' -autoboot_delay 4 -cass",
camplynx,archive:mame-sl/mame-sl/camplynx_cass.zip,MAME,"mame lynx48k -autoboot_command 'mload""""\n' -autoboot_delay 2 -cass",
camplynx,archive:mame-sl/mame-sl/camplynx_flop.zip,Flop MAME,mame lynx128k -flop1,
astrocade,archive:ni-roms/roms/Bally - Astrocade.zip,NoIntro,mame astrocde -cart,
astrocade,archive:tosec-main/Bally/Professional Arcade & Astrocade/Games/[BIN],TOSEC,mame astrocde -cart,
astrocade,archive:mame-sl/mame-sl/astrocde.zip,MAME,mame astrocde -cart,
apfm1000,archive:ni-roms/roms/APF - MP-1000.zip,NoIntro,mame apfm1000 -cart,
apfm1000,archive:tosec-main/APF/M-1000/Games,TOSEC,mame apfm1000 -cart,
apfm1000,archive:mame-sl/mame-sl/apfm1000.zip,MAME,mame apfm1000 -cart,
apfm1000,archive:mame-sl/mame-sl/apfimag_cass.zip,Cass MAME,mame apfimag -cass,
advision,archive:ni-roms/roms/Entex - Adventure Vision.zip,NoIntro,mame advision -cart,
advision,archive:tosec-main/Entex/Adventure Vision/Games,TOSEC,mame advision -cart,
advision,archive:mame-sl/mame-sl/advision.zip,MAME,mame advision -cart,
crvision,archive:ni-roms/roms/VTech - CreatiVision.zip,NoIntro,mame crvision -cart,
crvision,archive:tosec-main/VTech/Laser 2001 & CreatiVision/Games,TOSEC,mame crvision -cart,
crvision,archive:mame-sl/mame-sl/crvision.zip,MAME,mame crvision -cart,
vsmile,archive:ni-roms/roms/VTech - V.Smile.zip,NoIntro,mame vsmile -cart,
vsmile,archive:tosec-main/VTech/V.Smile Motion/Games/[BIN],TOSEC,mame vsmile -cart,
vsmile,archive:mame-sl/mame-sl/vsmile_cart.zip,MAME,mame vsmile -cart,
vsmile,archive:mame-sl/mame-sl/vsmilem_cart.zip,Cart MAME,mame vsmilem -cart,
vsmileb,archive:mame-sl/mame-sl/vsmileb_cart.zip,MAME,mame vsmileb -cart,
laser310,archive:tosec-main/VTech/Laser 200/Games/[VZ],200,mame laser310 -dump,
laser310,archive:tosec-main/VTech/Laser 200/Applications,200 App,mame laser310 -dump,
laser310,archive:tosec-main/VTech/Laser 310/Applications,310 App,mame laser310 -dump,
laser310,archive:mame-sl/mame-sl/vz_snap.zip,MAME,mame laser310 -dump,
laser310,archive:mame-sl/mame-sl/vz_cass.zip,Cass MAME,mame laser310 -autoboot_command 'CLOAD\nRUN\n' -autoboot_delay 2 -cass,
socrates,archive:mame-sl/mame-sl/socrates.zip,VTech Socrates,mame socrates -cart,
chip8,archive:mame-sl/mame-sl/chip8_quik.zip,MAME,mame d6800 -quik,
osborne1,archive:mame-sl/mame-sl/osborne1.zip,MAME,mame osborne1 -flop1,
mbee,archive:mame-sl/mame-sl/mbee_cart.zip,Cart MAME,mame mbee -cart,
mbee,archive:mame-sl/mame-sl/mbee_quik.zip,Quik MAME,mame mbee -quik,
mbee,archive:mame-sl/mame-sl/mbee_flop.zip,Flop MAME,mame mbee56 -flop1,
pro128,archive:mame-sl/mame-sl/pro128_cass.zip,Cass MAME,"mame pro128 -autoboot_command 'RUN""CASS:""\n' -autoboot_delay 8 -cass",
pro128,archive:mame-sl/mame-sl/pro128_cart.zip,Cart MAME,mame pro128 -cart,
pro128,archive:mame-sl/mame-sl/pro128_flop.zip,Flop MAME,mame pro128 -flop1,
pro128s,archive:mame-sl/mame-sl/pro128s_flop.zip,MAME,mame pro128s -flop1,
arcadia,archive:ni-roms/roms/Emerson - Arcadia 2001.zip,NoIntro,mame arcadia -cart,
arcadia,archive:tosec-main/Emerson/Arcadia 2001/Games,TOSEC,mame arcadia -cart,
arcadia,archive:mame-sl/mame-sl/arcadia.zip,MAME,mame arcadia -cart,
pv1000,archive:ni-roms/roms/Casio - PV-1000.zip,NoIntro,mame pv1000 -cart,
pv1000,archive:tosec-main/Casio/PV-1000/Games,TOSEC,mame pv1000 -cart,
